SA4_CODE_2021,Sme_Usl_ad_1_yr_ago_as_2021_M,Sme_Usl_ad_1_yr_ago_as_2021_F,Sme_Usl_ad_1_yr_ago_as_2021_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
309,233618,246689,480316,7905,8515,16420,5319,6072,11393,2662,3023,5688,34112,37492,71612,377,433,809,304,362,670,272,323,593,169,172,344,261,283,546,5,6,14,43488,48177,91664,2626,2754,5378,1300,1158,2460,55310,60606,115913,18822,19151,37974,307753,326445,634200
310,138251,142301,280549,4849,5315,10169,1141,1264,2412,647,617,1263,18784,20043,38823,167,184,350,122,117,242,80,87,165,221,202,423,103,108,205,0,0,5,21263,22621,43885,885,994,1881,684,593,1282,27684,29533,57217,14123,10397,24518,180061,182232,362290
311,137061,140829,277893,3181,3518,6694,1052,1089,2141,598,607,1206,19284,20198,39484,115,109,228,115,112,223,79,72,151,62,83,142,49,57,104,0,4,6,21350,22333,43680,902,947,1844,674,566,1235,26102,27361,53457,11912,11592,23506,175072,179781,354858
312,65466,63857,129322,3695,4051,7745,648,734,1385,391,423,813,8322,8897,17217,108,126,234,151,145,296,51,43,96,92,97,191,29,26,57,0,0,0,9791,10487,20280,386,390,777,274,209,480,14144,15141,29287,12034,8184,20216,91647,87180,178824
313,99041,105019,204062,3302,3650,6955,824,888,1712,516,574,1086,13718,15417,29134,65,83,140,100,103,204,82,107,189,59,53,111,60,75,137,0,0,4,15425,17295,32721,581,603,1187,504,456,961,19816,22002,41818,8928,7340,16264,127778,134366,262148
314,86252,89188,175442,2441,2651,5090,626,626,1256,443,431,873,10782,11618,22400,92,98,197,80,85,169,35,51,78,90,98,188,90,93,180,0,0,4,12239,13105,25343,554,603,1161,284,273,556,15521,16630,32153,3744,3651,7396,105513,109474,214987
315,29038,27840,56879,2464,2604,5070,249,225,474,105,102,207,2346,2560,4900,59,55,110,84,96,180,26,29,56,120,113,237,11,18,28,0,0,0,2998,3195,6196,161,156,319,166,120,286,5790,6076,11870,6016,3986,10005,40846,37906,78751
316,146487,157934,304425,5691,6315,12004,2036,2265,4299,1941,2166,4106,20203,22746,42954,209,261,470,225,235,461,176,243,418,173,198,369,180,172,357,5,0,8,25153,28288,53439,1337,1421,2762,666,666,1324,32848,36686,69535,10806,10566,21371,190145,205182,395329
317,60036,64742,124775,2198,2193,4392,499,577,1081,237,261,495,9193,10386,19575,58,54,109,32,42,71,49,57,99,51,61,112,47,51,93,0,0,0,10167,11477,21645,382,392,773,261,226,490,13006,14290,27298,4124,3941,8066,77166,82971,160143
318,86364,87778,174142,3143,3580,6724,817,801,1624,652,636,1287,11704,13023,24729,145,141,280,160,183,347,78,81,158,219,214,423,111,103,215,0,0,0,13881,15187,29066,536,481,1022,417,319,733,17980,19572,37545,11500,8596,20102,115840,115941,231786
