LGA_CODE_2021,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
LGA17000,52,249,77,172,7,610,42,36,227,169,375,29,875,0,0,10,4,25,0,47,3,6,23,38,301,5,381,9,0,22,22,153,49,252,296,182,1334,1099,4670,272,7854
LGA17040,80,317,103,158,12,776,80,56,237,148,194,24,735,20,12,117,55,173,9,392,5,0,21,26,184,3,243,12,0,43,36,125,39,265,525,257,1868,1157,3395,282,7486
LGA17080,49,200,43,71,9,416,30,29,134,132,223,15,568,0,0,18,17,20,0,66,0,0,6,13,111,0,143,0,0,19,10,100,33,166,159,150,812,573,2159,156,4002
LGA17100,109,593,126,80,17,1345,734,121,1617,343,245,95,3155,26,5,82,30,25,3,167,72,13,142,67,125,15,422,205,27,358,136,100,143,973,4325,570,8523,2421,1969,612,18412
LGA17150,906,4813,1262,1219,176,10535,1879,748,4958,2218,2193,383,12387,105,31,449,247,414,44,1288,166,70,541,570,2033,63,3437,264,59,879,527,1068,263,3059,9574,3449,29216,16057,27575,2486,88354
LGA17200,583,3152,542,360,102,8656,3228,663,4992,1000,707,210,10805,511,103,1452,430,321,52,2860,377,91,999,438,724,80,2709,969,103,2189,605,471,487,4821,25897,4478,51950,12553,10239,2618,107731
LGA17310,214,1046,344,481,30,2381,415,227,1325,746,1314,115,4144,3,0,35,18,87,4,153,20,11,55,113,630,26,865,17,3,51,60,324,100,550,1100,669,4250,2869,9045,719,18651
LGA17350,15,104,27,45,8,216,8,15,69,62,85,11,248,0,0,4,0,6,0,17,0,0,4,10,68,0,89,0,0,4,6,29,10,43,44,49,350,224,897,77,1646
LGA17400,22,83,29,32,5,185,9,12,54,51,76,4,211,0,0,0,0,7,4,21,0,0,6,6,39,4,56,0,0,10,5,26,26,65,59,51,316,238,739,105,1516
LGA17420,596,3533,797,683,119,7716,2408,611,4892,1577,1302,276,11067,63,22,280,147,148,17,677,248,48,551,447,1036,55,2392,631,60,1087,431,634,320,3163,15269,2951,30382,11056,14359,1988,76002
LGA17550,342,1499,433,576,65,3360,583,324,1974,1122,1744,208,5961,29,8,139,95,167,15,453,35,20,150,213,770,40,1227,61,8,250,191,469,154,1134,1811,1034,7298,4766,11994,1056,27960
LGA17620,35,218,44,101,13,449,37,10,128,108,176,10,478,8,7,14,19,50,0,91,4,4,3,13,147,9,184,0,0,16,10,53,37,115,151,96,864,621,2325,198,4252
LGA17640,29,104,39,49,8,254,22,11,101,86,145,7,376,0,0,3,7,13,0,21,0,0,9,20,71,3,104,0,0,15,6,36,11,79,152,90,561,464,1220,115,2601
LGA17650,22,129,54,53,4,352,27,22,92,55,112,9,316,0,0,4,5,4,0,14,0,0,6,4,45,0,68,7,0,8,3,22,3,42,165,71,472,298,841,62,1908
LGA17750,280,1334,365,582,49,3100,534,303,1853,840,1311,125,4974,8,0,48,22,61,7,154,25,17,117,155,710,18,1042,26,8,100,76,390,122,721,1656,906,6018,3228,9774,746,22327
LGA17850,11,43,14,25,0,93,7,3,22,25,43,5,97,0,0,4,6,4,0,13,0,0,0,0,18,0,26,0,0,5,0,15,3,21,38,22,190,144,436,45,873
LGA17900,21,82,17,42,4,177,8,4,60,39,45,7,156,0,0,0,4,4,0,8,0,3,3,0,20,0,27,0,0,0,0,9,12,22,25,27,267,212,428,54,1014
LGA17950,16,31,14,16,3,85,4,6,15,16,11,3,58,0,0,0,0,0,0,0,0,0,0,0,17,0,21,0,0,0,3,10,4,17,26,32,161,119,266,47,641
LGA18020,27,152,50,73,8,344,20,10,95,66,104,7,301,0,0,7,5,8,0,24,3,0,8,4,45,0,66,4,0,5,10,25,19,67,87,65,462,337,1030,124,2107
