LGA_CODE_2021,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_or_lt_rail_M,One_met_Tram_or_lt_rail_F,One_met_Tram_or_lt_rail_P,One_met_Taxi_or_Rideshare_M,One_met_Taxi_or_Rideshare_F,One_met_Taxi_or_Rideshare_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_or_lt_rail_M,Two_mt_trn_Trm_or_lt_rail_F,Two_mt_trn_Trm_or_lt_rail_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_or_lt_rail_M,Two_mth_Bu_Trm_or_lt_rail_F,Two_mth_Bu_Trm_or_lt_rail_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Tr_2_oth_meth_M,Three_meth_Tr_2_oth_meth_F,Three_meth_Tr_2_oth_meth_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
LGA16700,774,855,1626,608,718,1329,14,17,29,3,3,12,25,47,69,11359,7647,19009,404,985,1387,204,3,208,197,27,223,127,24,153,154,113,268,717,780,1493,14584,11229,25816,299,396,700,9,0,14,5,14,17,62,30,90,19,47,72,21,19,47,419,518,938,3,3,7,5,9,15,24,20,49,19,43,60,11,28,37,70,96,163,136,88,225,624,705,1327,92,115,208,13,15,26,6,3,4,107,127,239,14907,15235,30137,3196,4609,7812,138,98,237,33555,32005,65564
LGA16900,75,29,104,74,79,156,0,0,7,0,0,0,10,12,21,11276,8564,19838,524,598,1121,265,10,272,91,11,100,54,8,63,99,54,155,142,177,318,12611,9539,22150,7,15,22,0,0,0,0,0,0,28,10,33,9,8,10,0,0,0,43,27,70,0,0,0,0,0,0,3,9,17,10,14,20,4,0,4,18,25,36,92,43,134,152,89,240,10,9,15,0,0,0,0,0,0,6,9,14,2427,3961,6389,2210,3364,5576,84,70,153,17492,17031,34522
LGA16950,7,5,16,27,31,58,10,0,12,0,0,0,17,28,44,14314,12646,26961,900,1041,1942,467,12,478,169,14,189,152,52,210,164,66,234,575,602,1170,16811,14506,31317,0,7,4,0,0,0,0,0,0,7,3,8,0,0,0,4,0,0,9,11,19,0,0,0,0,0,0,4,7,13,3,13,15,0,0,4,10,26,33,168,79,247,188,110,295,4,3,3,0,0,0,9,0,11,10,8,16,2274,3035,5305,2030,3022,5049,153,146,302,21467,20825,42293
LGA17000,0,0,3,17,8,22,0,0,0,0,0,0,4,9,10,4321,2982,7301,201,224,426,131,3,137,41,3,42,11,4,12,61,19,77,402,110,507,5187,3359,8541,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,5,3,3,7,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,3,3,7,41,23,60,45,25,70,0,0,4,0,0,0,0,0,0,6,0,4,556,979,1530,848,1052,1903,32,20,57,6667,5439,12105
LGA17040,0,7,13,28,6,32,3,0,3,0,0,0,5,5,12,3565,3022,6591,248,295,545,92,0,92,34,6,40,24,10,31,64,31,89,348,366,713,4422,3739,8163,3,0,3,0,0,0,0,0,0,14,12,27,3,0,8,0,0,0,20,16,34,0,0,0,0,0,0,0,0,7,4,3,3,0,3,3,6,9,8,49,31,79,74,52,130,0,0,6,0,0,0,3,0,3,3,4,9,718,764,1485,522,672,1193,53,40,90,5799,5271,11068
LGA17080,0,0,0,14,7,19,0,0,0,0,0,0,0,0,4,2347,1927,4271,171,157,327,69,0,71,22,4,29,7,3,14,31,16,42,158,150,313,2824,2265,5090,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,4,3,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,41,10,54,46,12,55,0,0,0,0,0,0,0,0,0,0,0,0,322,370,695,233,411,647,35,20,55,3460,3090,6549
LGA17100,983,962,1947,72,79,148,0,0,0,4,0,6,14,29,43,4633,2491,7123,187,437,625,72,0,76,138,15,148,40,13,51,90,50,143,203,206,410,6441,4270,10713,291,375,665,8,3,8,4,4,9,52,22,74,8,43,45,19,12,29,380,456,836,0,0,0,0,0,0,5,0,5,0,3,6,4,0,0,10,5,18,49,24,71,436,484,922,62,72,137,0,4,3,0,0,5,66,79,140,4203,4077,8279,1224,1413,2640,60,41,101,12431,10371,22795
LGA17150,1269,993,2261,73,104,174,4,4,14,0,0,0,35,38,71,27831,18690,46526,1164,1545,2714,780,13,793,306,27,329,216,48,264,253,197,452,741,1110,1851,32674,22773,55452,174,147,318,3,0,8,15,17,36,222,105,333,43,50,93,42,16,50,500,335,841,0,0,0,0,0,0,5,12,18,0,4,5,4,5,11,14,14,31,217,121,339,730,475,1204,57,57,113,0,0,0,7,3,8,67,59,128,19222,24415,43638,6560,10157,16720,168,134,303,59425,58012,117444
LGA17200,2590,1956,4552,1782,1966,3744,17,11,32,289,275,562,231,206,439,10433,5857,16297,550,1022,1567,126,5,131,857,143,1001,1528,508,2035,507,315,819,6443,5278,11722,25361,17532,42894,881,837,1720,11,12,22,66,51,115,48,30,85,29,30,56,125,54,173,1155,1014,2173,8,0,9,76,74,151,34,16,51,18,50,71,63,65,126,208,203,406,236,111,346,1594,1328,2924,252,172,421,33,33,72,17,12,29,304,221,525,34514,31802,66323,6309,7478,13786,243,202,441,68328,58567,126888
LGA17310,4,0,4,30,34,62,0,5,4,0,0,0,20,21,39,9344,8390,17731,735,778,1518,377,16,389,140,16,153,58,10,63,83,53,138,372,341,717,11172,9659,20824,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,11,4,12,0,5,5,3,0,5,14,9,25,102,58,162,120,67,193,0,0,0,0,3,3,0,0,0,0,3,6,1538,2151,3691,1531,2220,3751,104,70,176,14468,14174,28644
LGA17350,0,0,0,7,0,9,0,0,0,0,0,0,0,0,0,891,818,1710,58,56,112,40,0,40,5,3,14,12,5,12,11,4,13,87,95,185,1116,978,2096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,9,19,18,9,24,0,0,0,0,0,0,0,0,0,0,0,0,149,158,312,107,138,244,3,9,13,1391,1294,2685
LGA17400,0,0,0,13,4,17,0,0,0,0,0,0,0,0,0,719,694,1411,49,55,105,47,0,47,7,5,11,7,3,11,18,11,21,50,58,116,905,834,1741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,3,15,10,9,15,0,0,0,3,0,3,0,0,0,0,0,0,238,200,442,57,130,193,21,19,42,1236,1197,2431
LGA17420,501,396,894,522,518,1031,0,0,0,6,7,17,24,14,43,19471,13612,33085,821,1291,2114,512,6,519,139,10,147,80,13,89,243,152,399,372,410,784,22694,16437,39125,257,236,495,0,0,0,10,5,11,125,84,213,19,25,45,15,11,30,425,368,790,0,0,0,12,7,13,51,35,88,20,36,54,16,11,29,99,91,186,168,106,271,681,559,1247,93,95,189,13,8,19,3,0,8,107,105,211,21474,22248,43723,4815,7086,11901,150,120,266,49932,46547,96477
LGA17550,8,3,12,104,87,188,0,0,0,0,0,0,18,10,27,13041,12249,25294,710,922,1631,385,14,395,172,20,195,198,117,311,126,58,179,486,570,1055,15254,14051,29300,4,0,4,0,0,0,0,0,0,15,5,23,3,0,8,0,0,0,24,10,33,0,0,0,0,0,0,5,0,4,13,20,29,3,3,8,17,25,42,138,74,210,177,109,287,8,0,3,4,5,6,3,0,5,13,7,18,2481,3406,5888,1872,3031,4901,142,136,283,19938,20740,40678
LGA17620,0,0,0,6,0,10,0,0,0,0,0,0,0,4,0,2328,1983,4311,132,143,279,62,3,69,25,0,26,27,5,26,54,21,77,125,177,302,2770,2339,5111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,36,12,51,36,20,55,0,0,0,0,0,0,3,0,6,3,0,6,368,461,830,348,388,737,35,25,53,3554,3229,6784
LGA17640,3,0,3,0,0,8,0,0,0,0,0,0,0,0,0,1166,1083,2243,59,68,129,90,9,95,19,3,21,3,0,6,21,9,28,91,93,182,1454,1255,2709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,8,32,22,10,34,0,0,0,0,0,0,4,0,4,7,0,7,459,389,852,132,232,365,20,16,35,2092,1904,3997
LGA17650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,734,677,1413,29,45,73,33,7,39,10,0,14,7,0,5,9,4,12,54,34,87,883,765,1654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,16,15,3,14,0,0,0,0,0,0,0,0,0,0,0,0,277,339,611,153,231,388,8,7,14,1338,1349,2688
LGA17750,3,0,3,92,64,162,8,7,13,0,0,0,25,32,58,12066,10894,22961,915,899,1812,196,12,206,133,10,147,103,29,136,194,72,264,720,591,1314,14458,12619,27076,0,0,0,0,0,0,0,0,0,3,7,8,0,0,0,0,0,0,9,7,10,0,0,0,0,0,0,10,0,11,12,8,26,3,0,6,22,14,37,130,74,205,160,91,255,0,0,0,0,4,4,9,3,11,14,12,17,1187,1594,2783,1046,1935,2984,100,72,171,16968,16315,33283
LGA17850,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,359,307,665,35,21,53,19,0,23,9,0,10,0,0,0,7,3,13,53,37,93,490,372,858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,204,185,390,44,63,105,10,3,14,749,628,1379
LGA17900,0,0,0,3,5,5,0,0,0,0,0,0,0,0,0,483,469,959,28,54,78,19,0,16,6,3,7,10,4,11,12,14,28,98,69,170,663,623,1285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,13,11,3,13,0,0,0,0,0,0,0,0,3,0,0,3,114,117,227,44,73,121,7,11,17,841,826,1668
LGA17950,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,376,308,677,22,19,43,12,0,16,6,0,6,4,0,0,7,4,11,35,43,75,464,383,848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,96,91,185,13,37,49,13,8,18,590,513,1106
LGA18020,0,0,0,8,0,12,0,0,0,0,0,0,0,0,0,951,944,1895,66,79,139,77,5,83,20,5,29,9,0,8,18,7,28,122,130,256,1274,1180,2444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,0,0,0,0,0,0,4,0,5,14,5,14,16,9,23,0,0,0,0,0,0,3,0,3,3,0,3,329,275,606,119,160,282,22,15,35,1762,1636,3401
LGA18050,335,265,593,314,442,756,27,13,39,0,3,5,47,47,91,4741,2874,7615,203,325,527,116,0,121,407,95,499,260,106,365,94,77,174,582,898,1483,7135,5137,12272,336,263,603,8,5,10,3,0,5,14,13,25,5,3,10,13,6,17,377,295,670,0,0,0,0,0,0,6,5,16,12,11,18,20,16,36,34,33,67,73,28,105,482,358,844,64,35,95,0,0,5,3,0,3,69,31,104,9957,11099,21049,1470,2304,3774,101,82,179,19213,19012,38229
LGA18100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410,394,803,30,36,65,29,0,28,5,0,7,4,0,8,13,8,20,62,52,110,541,490,1036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,12,11,0,12,0,0,0,0,0,0,0,0,0,0,0,0,158,131,289,58,76,133,9,6,15,786,700,1487
LGA18200,0,0,0,14,10,25,0,0,0,0,0,0,0,0,0,1152,947,2097,77,78,149,22,0,22,8,3,11,9,0,10,21,0,23,84,65,146,1389,1099,2489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,15,11,6,16,0,0,0,0,0,0,0,0,0,0,0,0,184,207,397,84,150,240,19,19,34,1688,1486,3174
LGA18250,554,611,1162,313,373,686,0,0,0,0,0,0,29,19,46,4589,2973,7556,202,508,715,60,0,63,133,22,154,103,19,129,85,63,145,740,897,1637,6806,5493,12300,128,173,298,0,0,0,6,5,9,21,17,35,9,19,25,19,19,38,180,222,408,0,0,0,0,8,8,14,12,28,12,21,27,9,10,21,35,48,80,55,28,81,267,302,567,29,30,57,4,0,7,0,0,3,37,35,67,10387,9930,20316,1527,2412,3943,67,55,123,19090,18216,37312
LGA18350,45,31,73,40,35,73,0,0,3,0,0,0,10,10,22,7065,5981,13053,434,511,950,327,9,339,41,8,51,24,8,33,66,37,104,336,339,671,8401,6981,15374,3,0,5,3,0,3,0,0,0,3,7,12,4,0,3,3,4,6,16,12,27,0,0,0,0,0,0,0,4,9,3,4,9,0,0,3,4,20,21,68,39,103,86,66,156,7,3,5,0,0,0,4,0,4,10,0,12,2676,2920,5592,1045,1621,2663,85,73,161,12295,11664,23960
LGA18400,71,30,104,7,8,13,0,0,0,0,0,0,6,0,5,8398,5564,13960,459,379,834,593,8,601,51,3,55,15,0,15,53,34,86,196,156,354,9843,6183,16024,7,0,7,0,0,0,0,0,0,45,20,63,6,4,7,0,0,0,60,26,81,0,0,0,0,0,0,3,3,6,0,6,5,0,0,3,8,7,15,73,24,98,147,56,201,11,3,13,0,0,0,3,0,4,14,4,20,2245,4025,6273,1598,2288,3887,57,69,125,13908,12621,26528
LGA18450,467,249,719,308,399,707,9,0,9,4,3,6,56,50,105,27692,19681,47369,1286,1610,2900,577,6,584,303,23,325,348,68,416,205,141,352,954,1032,1984,32199,23278,55478,51,54,101,0,0,0,3,0,4,128,55,177,17,17,31,26,10,35,226,134,358,0,0,0,0,0,0,24,17,44,21,49,74,15,14,31,65,83,141,251,135,387,536,351,883,26,27,55,7,14,21,9,6,15,47,46,92,11264,14779,26041,6079,9122,15206,177,147,321,50295,47724,98020
LGA18500,242,180,421,173,192,364,78,25,104,3,0,3,30,33,62,3349,2246,5597,217,309,518,43,0,43,141,24,161,120,37,159,90,72,161,598,671,1271,5077,3787,8863,89,96,186,5,0,7,0,0,0,18,3,22,3,7,8,7,5,12,121,115,236,10,0,10,5,0,5,11,4,13,0,9,8,3,8,12,27,28,51,53,33,88,200,175,371,24,18,39,5,0,5,6,0,6,35,16,52,7711,8388,16103,1046,1656,2705,71,70,134,14136,14096,28230
LGA18710,0,0,0,28,24,49,0,0,0,0,5,5,3,0,3,2953,2643,5600,153,215,362,135,6,141,28,4,34,12,3,15,27,16,42,151,134,283,3487,3047,6532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,9,0,10,10,0,0,0,6,15,21,35,32,66,39,46,88,0,0,0,4,5,6,3,0,4,8,4,10,642,784,1423,358,553,907,26,15,40,4556,4446,9001
LGA19399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,58,137,5,15,20,0,0,0,8,0,7,31,29,57,6,3,9,46,55,97,179,156,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,9,3,6,9,0,0,0,0,0,0,6,0,6,6,0,6,88,76,170,16,27,36,5,0,10,297,261,556
LGA19499,27,11,35,21,16,34,0,0,0,0,0,0,0,6,5,580,380,961,75,87,164,23,3,24,10,4,16,9,5,18,29,27,54,89,76,166,872,616,1485,16,9,24,0,0,0,0,3,3,5,0,5,0,0,0,0,0,0,13,9,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,10,25,16,41,10,0,6,0,0,0,0,0,0,6,5,11,233,279,514,213,213,428,35,6,39,1388,1128,2511
LGA19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA20110,0,0,0,13,8,22,0,0,0,0,0,0,0,0,3,1766,1644,3409,130,113,246,38,0,37,26,0,28,56,26,84,35,13,50,220,218,442,2302,2024,4332,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,5,30,33,3,36,0,0,0,0,0,0,0,0,0,0,0,0,516,578,1093,347,455,803,27,30,61,3230,3097,6320
LGA20260,5,0,3,8,22,22,0,0,0,0,0,0,3,6,9,1602,1432,3027,145,146,290,32,0,31,8,8,8,17,4,24,14,6,18,190,115,304,2009,1730,3745,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,19,15,6,23,0,0,0,0,0,0,0,0,4,0,0,4,290,334,620,201,325,530,25,25,52,2551,2419,4973
LGA20570,100,47,142,122,169,287,12,0,15,3,3,4,81,82,166,17477,15210,32688,1203,1344,2550,211,8,215,71,8,86,249,64,307,92,40,138,614,647,1261,20235,17622,37862,3,9,11,0,0,0,10,8,21,35,13,48,0,0,3,13,0,12,64,31,90,0,0,0,0,0,0,6,4,8,9,26,34,7,16,22,24,41,66,176,119,295,263,190,454,20,17,32,7,10,11,12,0,12,38,25,59,3714,4516,8231,2208,4032,6239,144,121,262,26600,26502,53104
LGA20660,816,647,1464,188,231,426,12,8,13,27,27,55,56,51,105,15447,11923,27371,639,904,1539,193,3,198,119,9,124,284,84,371,153,95,245,638,774,1411,18580,14747,33323,90,93,185,0,0,0,46,58,103,127,92,213,14,26,44,41,20,53,313,291,597,0,0,0,16,20,30,10,15,25,11,28,41,8,17,26,51,73,124,139,91,235,495,455,956,73,77,151,12,9,14,0,0,5,87,83,166,10224,11121,21341,2859,5087,7940,114,78,191,32353,31568,63920
LGA20740,12,0,8,11,20,36,7,0,8,0,0,0,0,3,3,5269,4414,9677,285,331,620,106,0,111,31,3,31,86,31,119,44,24,73,267,265,536,6118,5106,11220,0,0,0,0,0,0,0,0,0,3,4,8,0,0,5,0,0,0,4,6,9,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,9,0,10,42,30,73,55,34,91,0,0,0,0,0,6,4,0,4,7,4,12,1208,1612,2812,846,1347,2186,96,77,173,8331,8170,16498
LGA20830,87,41,129,28,11,39,4,3,7,0,0,0,14,11,24,9149,7493,16642,536,560,1096,219,3,225,58,4,68,30,16,42,59,34,91,331,270,601,10510,8458,18967,9,13,28,0,0,0,0,0,0,22,15,35,8,3,9,9,0,8,53,33,80,0,0,0,0,0,0,9,3,8,5,3,8,3,0,3,10,8,23,100,38,146,166,79,239,10,9,19,0,0,0,3,0,3,16,9,30,1770,2379,4145,1045,1997,3044,94,81,173,13603,13000,26602
LGA20910,586,449,1033,64,89,149,3,0,3,16,21,31,34,27,57,10085,7921,18002,404,636,1037,68,3,79,89,8,98,313,90,402,99,79,178,426,576,1007,12187,9885,22075,56,45,105,0,0,0,27,41,70,61,43,109,16,16,31,26,7,36,185,160,344,0,0,0,0,0,4,3,4,13,3,10,13,4,0,9,19,15,29,74,78,154,275,251,528,40,44,83,0,4,7,5,5,8,46,50,101,10754,10955,21709,2225,3678,5901,108,91,196,25602,24912,50508
LGA21010,0,0,0,5,4,10,0,0,0,0,0,0,9,0,8,2111,1816,3932,147,122,268,65,5,71,19,0,17,25,18,38,25,9,25,112,102,220,2514,2084,4590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,5,5,6,4,8,21,10,29,24,17,41,0,0,0,0,0,0,0,0,0,0,0,0,376,497,871,238,429,663,49,33,81,3200,3054,6251
LGA21110,984,902,1885,187,239,432,11,8,18,484,609,1097,59,56,114,16410,13294,29705,672,1352,2021,100,4,96,158,16,174,621,192,806,151,122,271,990,1175,2168,20824,17967,38786,67,63,130,0,0,0,169,187,354,80,67,148,17,35,53,46,24,68,380,378,756,0,0,0,41,64,105,12,22,34,11,14,26,8,5,12,79,100,176,219,199,420,674,680,1357,105,111,212,16,16,26,11,15,25,124,135,262,18261,18243,36499,3749,6069,9817,143,123,270,43775,43216,86987
LGA21180,1160,1328,2483,215,341,554,7,0,14,8,11,22,160,120,283,29462,17844,47307,1551,2439,3994,476,8,491,140,14,157,151,33,182,280,135,412,265,354,620,33871,22641,56507,234,392,618,0,0,0,58,113,172,239,182,420,39,101,138,40,19,59,607,813,1416,0,0,0,0,6,7,18,22,45,31,56,90,3,11,14,52,100,155,331,202,535,990,1118,2110,194,315,505,9,12,22,19,0,21,216,329,548,6444,8404,14851,3370,5132,8504,276,184,458,45166,37809,82979
LGA21270,0,0,0,0,0,3,6,0,6,0,0,0,0,0,4,876,662,1539,39,29,66,33,0,33,3,0,6,7,6,13,32,4,31,133,138,279,1130,850,1979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,9,24,18,7,27,0,0,0,0,0,0,0,0,0,0,0,0,218,198,420,74,122,200,17,17,37,1459,1190,2654
LGA21370,3,3,5,6,3,13,4,0,0,0,0,0,4,10,12,6002,5257,11257,419,377,800,134,6,142,88,15,103,107,37,142,60,21,83,371,374,747,7209,6104,13317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,5,0,6,68,28,96,70,33,102,0,0,0,0,0,0,5,0,5,6,0,6,894,1101,1999,631,1158,1794,86,73,160,8901,8473,17368
LGA21450,398,380,779,49,64,112,13,0,10,5,0,0,32,44,71,20654,14436,35089,1064,1123,2191,573,16,591,125,8,135,53,19,76,147,73,220,304,297,607,23420,16467,39883,85,107,194,0,0,0,20,18,33,110,52,165,21,22,41,32,16,42,261,221,480,4,0,4,0,0,0,4,7,8,5,16,22,5,7,7,17,26,38,221,98,319,504,339,843,58,77,140,3,0,5,7,0,7,69,84,152,4494,6535,11036,2207,4322,6527,145,127,272,30834,27871,58709
LGA21610,1276,1030,2312,353,488,842,15,15,30,4,9,7,235,197,435,63780,42183,105956,3278,4220,7500,1373,30,1402,292,19,314,162,25,185,579,293,867,409,563,975,71753,49072,120822,308,438,751,0,0,0,32,40,76,424,223,652,44,105,151,36,30,69,851,842,1697,0,0,4,0,0,0,36,33,65,47,108,149,10,19,29,97,151,252,620,366,993,1570,1365,2935,239,323,562,21,29,50,25,5,39,287,352,642,13525,17558,31089,6257,11036,17296,468,302,770,93863,79692,173556
LGA21670,4,0,4,3,0,3,0,0,0,0,0,0,0,7,6,1649,1512,3157,131,121,256,39,0,35,3,3,10,17,4,27,8,6,15,95,125,214,1949,1780,3735,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,23,14,5,24,0,0,0,0,0,0,0,0,0,0,0,0,149,212,360,197,325,530,33,23,54,2343,2346,4693
LGA21750,3,5,7,4,6,14,0,0,0,0,0,0,20,4,28,3593,2920,6518,262,296,560,48,0,51,25,8,29,53,17,71,41,25,70,324,271,596,4380,3558,7937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,6,4,7,36,17,58,43,23,67,0,0,0,0,0,0,10,0,10,10,4,8,609,726,1332,463,757,1216,45,37,77,5546,5101,10642
LGA21830,5,0,5,3,0,11,0,0,0,0,0,0,0,0,0,2376,2019,4402,116,145,259,81,4,85,70,13,85,22,14,35,47,24,70,317,238,553,3040,2453,5502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,29,17,39,27,17,42,0,0,0,0,0,0,3,0,3,3,0,3,684,592,1279,237,411,648,59,41,104,4063,3520,7583
LGA21890,1110,1102,2211,250,379,630,10,4,8,459,645,1106,74,110,185,16698,11970,28663,681,1110,1790,238,5,242,245,35,274,1197,696,1890,188,129,313,598,773,1371,21738,16944,38679,164,191,360,0,0,0,130,158,286,94,73,168,25,46,66,66,58,122,472,526,1001,0,0,0,76,107,183,5,9,11,9,27,40,16,12,29,103,156,261,251,192,445,829,877,1707,170,177,346,20,17,38,25,17,45,216,210,424,12787,15667,28459,3630,5889,9521,165,128,287,39362,39721,79087
