LGA_CODE_2021,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
LGA24650,25,68,3,3617,191,36,38,161,36,128,18,60,39,101,643,1460,28,0,17,24,14,13,3,5,16,17,156,294,6003,1119,257,6659,1170,5295,382,1745,470,2207,887,26188
LGA24780,3,10,3,613,87,18,11,83,5,32,6,15,8,37,238,534,9,0,4,8,0,0,0,4,7,13,23,73,1373,244,83,1724,229,749,101,259,85,533,288,5667
LGA24850,7,10,0,788,79,18,4,72,9,51,7,14,11,28,214,511,5,0,3,12,6,0,0,0,9,5,21,71,1379,233,59,1856,341,1134,102,300,116,404,253,6184
LGA24900,0,3,0,272,46,9,3,46,7,21,0,18,0,18,97,264,3,0,4,0,0,0,0,3,0,9,19,42,637,102,45,973,154,325,34,123,33,244,122,2783
LGA24970,32,152,9,7097,194,50,18,168,27,103,14,57,24,119,686,1454,13,0,12,27,9,7,0,4,4,14,78,168,6732,1320,191,6355,910,4033,245,1448,277,2239,830,24572
LGA25060,32,88,11,5950,108,31,18,102,28,69,14,33,8,73,280,761,17,0,10,18,3,4,0,6,6,12,52,137,3967,664,142,4695,759,2219,195,689,170,1202,370,15068
LGA25150,5,4,3,844,68,16,7,59,4,30,4,8,11,17,119,334,6,0,4,7,3,0,0,0,0,0,19,48,1125,183,63,1546,286,758,74,174,76,258,149,4703
LGA25250,3,82,11,5219,95,18,20,99,15,75,12,46,25,93,348,849,13,0,13,8,6,13,0,3,5,19,79,168,3937,960,176,5294,1004,3044,301,1213,238,1810,478,18455
LGA25340,37,70,9,4346,234,47,27,282,38,135,32,59,23,94,475,1439,17,5,17,25,9,0,0,9,9,16,51,155,3786,969,240,6577,985,2447,352,813,250,1185,567,18170
LGA25430,4,5,0,230,27,11,4,27,5,9,6,8,3,11,57,163,0,0,3,6,0,3,0,0,0,0,5,19,281,192,23,609,79,208,58,131,36,106,67,1798
LGA25490,0,3,0,260,47,4,7,46,4,19,3,5,6,5,67,213,8,0,5,3,0,0,0,0,0,5,12,26,446,99,42,727,136,212,34,66,20,87,86,1950
LGA25620,0,0,0,131,18,8,3,31,7,17,0,11,6,13,44,161,4,0,0,4,0,0,0,0,0,3,3,18,291,90,25,438,69,186,35,74,26,117,53,1414
LGA25710,21,44,4,3496,114,22,4,148,22,69,10,28,20,36,192,659,16,0,12,11,0,7,0,0,0,6,22,72,2416,511,87,3538,443,1385,148,405,95,476,227,9717
LGA25810,0,0,0,87,24,3,0,16,0,12,0,0,0,10,36,114,0,0,0,3,0,0,0,0,0,0,6,12,231,60,19,319,49,136,17,55,27,90,44,1042
LGA25900,20,36,0,3971,88,14,9,59,10,37,0,19,8,20,195,447,7,4,5,10,0,0,3,0,5,0,19,51,2200,375,67,2198,449,1310,111,327,72,424,226,7752
LGA25990,0,0,0,52,12,4,0,13,0,11,5,0,3,3,32,73,0,0,0,0,0,0,0,0,4,0,3,11,135,24,10,206,27,76,9,33,21,62,38,641
LGA26080,0,0,0,66,4,0,0,6,0,3,0,0,0,5,5,34,0,0,0,0,0,0,0,0,0,0,0,0,55,25,4,79,19,16,8,7,7,23,8,249
LGA26170,0,3,0,338,45,14,3,54,5,20,4,14,3,25,94,293,6,4,3,3,3,0,0,0,5,5,9,42,595,179,55,1092,158,357,55,164,44,214,109,3026
LGA26260,0,5,0,182,35,8,5,35,3,6,0,7,0,7,54,156,5,0,0,0,0,0,0,5,0,4,4,19,371,86,25,593,78,203,23,72,24,104,59,1631
LGA26350,23,96,11,5285,113,12,6,130,18,69,4,26,9,39,255,674,9,0,12,10,3,4,0,0,0,4,17,68,2472,379,84,2687,478,1684,80,404,77,552,289,9180
LGA26430,0,0,0,115,17,3,4,12,5,0,0,3,0,9,36,93,0,0,0,0,5,0,0,0,0,0,4,12,244,37,21,315,44,117,12,43,11,72,46,958
LGA26490,11,17,0,1276,70,19,11,75,12,29,4,18,10,21,142,395,10,0,4,4,5,5,0,0,0,3,12,40,998,299,67,1792,277,595,95,192,51,176,159,4700
LGA26610,0,0,0,214,36,3,0,42,7,10,0,5,3,11,64,180,0,0,0,3,0,0,0,0,0,0,10,24,497,83,27,704,89,304,27,97,33,143,84,2086
LGA26670,0,0,0,58,14,0,0,10,0,4,0,0,0,7,26,62,0,0,0,0,0,0,0,0,0,0,3,3,139,17,5,186,25,79,17,28,6,47,28,567
LGA26700,0,3,0,371,66,10,5,52,4,14,8,10,3,18,89,284,5,0,3,3,0,0,0,0,0,6,5,23,780,169,29,1030,151,323,65,128,27,193,106,3002
LGA26730,4,7,0,538,37,13,4,47,0,17,0,16,4,14,99,255,6,0,5,9,0,0,0,0,0,0,7,22,737,209,36,1481,185,456,62,144,35,194,116,3654
LGA26810,5,4,0,614,51,16,5,63,10,31,11,7,3,26,230,452,8,0,3,6,3,0,0,3,0,6,14,43,920,191,57,1435,192,641,89,187,71,324,263,4370
LGA26890,0,0,0,43,16,0,0,13,0,4,0,0,0,0,10,41,0,0,0,0,0,0,0,0,0,0,4,4,80,9,6,152,16,46,4,8,6,15,11,359
LGA26980,21,102,10,7027,188,38,16,163,19,82,13,51,19,99,518,1202,19,0,10,9,0,4,0,3,4,10,37,97,5580,1136,146,6605,793,3317,245,1220,230,1754,607,21628
LGA27070,24,90,3,4024,195,42,28,184,38,155,32,69,53,178,745,1719,25,0,14,24,15,23,5,5,10,30,165,324,6729,1580,275,8770,1429,6194,480,2128,558,3723,1014,32887
LGA27170,3,3,0,593,44,7,3,52,5,20,3,12,6,17,164,328,4,0,3,4,0,0,0,0,0,0,16,30,1214,189,59,1558,246,609,61,208,43,261,182,4628
LGA27260,32,94,17,6794,227,38,67,195,52,198,24,84,82,153,1246,2361,32,5,26,21,9,15,4,7,11,31,215,372,11364,1852,417,10159,1814,9826,511,2853,765,3101,1624,44282
LGA27350,15,35,0,3164,46,13,3,31,8,28,4,18,3,32,149,331,8,0,3,3,3,0,0,0,4,3,17,46,1710,326,52,1838,402,856,91,313,70,428,178,6254
LGA27450,20,59,9,3883,235,54,23,283,44,122,33,56,28,80,454,1408,16,4,22,26,7,16,0,0,4,9,62,178,4237,1045,241,7596,1147,3079,348,890,254,1186,552,20583
