LGA_CODE_2021,C21_OTT_DS_F_a,C21_OTT_DS_OD,C21_OTT_DS_NS,C21_OTT_Tot,C21_TT_NS_DS_Sep_house,C21_TT_NS_DS_SemiDRTHT,C21_TT_NS_DS_F_a,C21_TT_NS_DS_OD,C21_TT_NS_DS_NS,C21_TT_NS_Tot,C21_Tot_DS_Sep_house,C21_Tot_DS_SemiDRTHT,C21_Tot_DS_F_a,C21_Tot_DS_OD,C21_Tot_DS_NS,C21_Tot_Tot
LGA34530,9,19,12,352,772,103,82,279,10,1242,12967,695,873,860,204,15595
LGA34570,0,0,0,10,21,5,0,5,0,33,166,16,0,7,7,191
LGA34580,3,3,0,216,798,85,20,25,50,981,13957,619,159,126,85,14945
LGA34590,90,0,13,1199,5849,1706,610,228,34,8428,100556,14765,3559,552,201,119634
LGA34710,0,14,14,106,168,14,12,34,3,222,1379,83,48,278,74,1852
LGA34770,30,19,18,982,2555,610,296,366,50,3883,38766,4838,1872,1230,331,47026
LGA34800,0,0,9,41,45,4,0,3,8,60,250,10,0,69,71,398
LGA34830,0,0,0,12,5,0,0,13,0,21,97,0,0,30,6,136
LGA34860,0,13,14,287,470,41,0,15,8,531,4764,293,30,243,56,5381
LGA34880,0,18,10,304,755,13,125,247,17,1163,7858,110,485,638,160,9253
LGA35010,436,39,23,2924,5061,1789,685,422,31,7983,142997,24289,8564,1847,281,177980
LGA35250,0,0,4,23,5,17,6,0,0,24,99,160,11,0,15,284
LGA35300,31,33,14,321,351,106,34,304,15,819,5168,1136,311,833,101,7547
LGA35600,3,6,8,106,199,0,3,16,3,225,1641,30,52,125,43,1896
LGA35670,0,0,0,5,27,3,7,0,0,36,181,7,32,0,7,226
LGA35740,36,0,4,646,812,218,169,40,7,1245,18359,2938,2048,269,148,23755
LGA35760,0,11,4,206,419,19,22,47,6,508,4086,81,82,237,56,4544
LGA35780,0,13,6,40,59,22,9,77,6,167,587,95,24,230,51,976
LGA35790,3,3,3,20,30,0,4,4,0,40,448,3,48,18,7,522
LGA35800,4,8,0,67,39,0,0,29,0,76,690,32,7,149,22,894
LGA36070,0,0,0,20,14,6,0,0,0,24,151,12,3,0,14,182
LGA36150,4,5,0,34,17,0,5,5,0,31,281,0,19,52,28,377
LGA36250,134,6,3,1355,1577,377,184,80,8,2223,50612,6964,2737,312,89,60718
LGA36300,0,0,8,40,65,0,0,0,0,58,275,0,0,28,32,344
LGA36370,70,16,14,535,1546,246,196,122,18,2131,27808,2217,1546,419,146,32134
LGA36510,6,6,3,346,886,96,5,57,7,1058,15031,1025,59,300,63,16479
LGA36580,0,12,5,202,617,17,0,85,0,721,9315,165,23,240,27,9771
LGA36630,8,6,8,301,1117,33,71,52,4,1278,12803,296,577,273,80,14035
LGA36660,0,4,9,364,964,89,34,58,13,1158,13730,960,183,215,75,15165
LGA36720,616,54,23,3816,3687,1103,1495,437,87,6813,96891,17596,18155,2234,636,135512
LGA36820,3,16,9,292,903,61,29,141,38,1180,9970,396,331,727,183,11612
LGA36910,43,17,22,1388,2486,629,195,224,33,3566,55712,8974,2596,597,160,68033
LGA36950,19,9,9,134,37,22,9,13,8,91,623,284,99,100,38,1144
LGA36960,0,7,0,33,56,3,0,6,3,66,1024,35,6,18,23,1106
LGA37010,88,23,17,1133,3060,889,590,137,61,4741,59580,8503,5589,1180,376,75236
LGA37300,0,0,8,97,98,75,6,11,8,190,901,461,36,102,58,1558
LGA37310,6,12,13,622,963,163,34,39,30,1225,11768,1102,145,323,147,13484
LGA37340,14,52,27,334,849,176,139,148,65,1385,10780,1366,1361,1424,516,15451
LGA37400,4,5,9,42,91,0,6,13,16,123,492,3,12,144,74,735
LGA37550,0,0,0,10,16,0,5,0,0,16,232,10,48,0,4,293
LGA37570,0,0,0,5,6,5,0,0,0,9,71,10,0,0,0,83
LGA37600,0,18,0,28,13,7,0,14,0,31,357,26,56,67,3,503
LGA39499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA39799,0,0,0,0,0,0,0,0,4,4,0,0,0,3,8,5
LGA40070,171,8,6,260,35,167,472,87,43,803,1020,3833,6921,161,151,12093
LGA40120,15,0,3,323,500,17,12,6,0,539,14412,384,187,33,31,15043
LGA40150,0,0,0,66,224,3,5,8,0,238,3518,17,17,34,13,3603
LGA40220,6,6,0,484,478,37,9,16,3,550,11488,562,133,155,52,12394
LGA40250,0,0,3,133,37,14,0,0,3,50,522,63,0,4,19,609
LGA40310,12,4,0,356,327,36,11,17,6,400,9374,522,94,114,29,10136
LGA40430,0,0,0,67,83,4,0,0,0,90,1141,47,9,14,9,1227
LGA40520,0,3,0,122,210,57,7,28,8,315,3872,530,97,115,17,4622
LGA40700,182,0,10,615,161,94,86,4,0,342,12002,3993,1992,18,41,18049
LGA40910,187,0,4,607,408,140,110,0,5,662,15963,3752,2076,3,39,21832
LGA41010,0,4,7,41,85,3,5,23,8,128,1312,44,20,111,37,1535
