LGA_CODE_2021,Med_age_persns_C2011,Med_age_persns_C2016,Med_age_persns_C2021,Med_mortg_rep_mon_C2011,Med_mortg_rep_mon_C2016,Med_mortg_rep_mon_C2021,Med_person_inc_we_C2011,Med_person_inc_we_C2016,Med_person_inc_we_C2021,Med_rent_weekly_C2011,Med_rent_weekly_C2016,Med_rent_weekly_C2021,Med_Famly_inc_we_C2011,Med_Famly_inc_we_C2016,Med_Famly_inc_we_C2021,Avg_num_p_per_brm_C2011,Avg_num_p_per_brm_C2016,Avg_num_p_per_brm_C2021,Med_tot_hh_inc_wee_C2011,Med_tot_hh_inc_wee_C2016,Med_tot_hh_inc_wee_C2021,Average_hh_size_C2011,Average_hh_size_C2016,Average_hh_size_C2021
LGA35780,22,22,23,1409,98,1300,436,468,604,60,120,120,923,1064,1287,1.3,1.3,1.3,975,1158,1331,3.6,3.7,3.5
LGA35790,24,24,26,0,0,2167,290,303,380,110,120,125,936,927,898,1.6,1.5,1.2,1184,1119,977,4.8,4.3,3.7
LGA35800,39,46,44,550,498,679,501,529,529,90,108,125,1153,1235,1268,0.8,0.8,0.8,877,874,920,2.3,2.2,2.2
LGA36070,33,31,34,0,867,0,317,337,351,85,90,120,836,747,947,1.2,1,1.2,1044,771,1071,3.6,3.1,3.4
LGA36150,40,41,42,579,723,850,589,692,823,105,133,140,1093,1449,1968,0.8,0.8,0.8,935,1065,1312,2.3,2.3,2.4
LGA36250,39,41,43,2000,1950,1950,608,686,786,350,390,420,1604,1815,2131,0.8,0.8,0.7,1365,1521,1767,2.7,2.6,2.6
LGA36300,38,35,37,697,710,800,572,655,918,101,130,133,1131,1402,1929,0.8,0.8,0.8,971,1183,1757,2.4,2.3,2.6
LGA36370,35,36,37,1600,1517,1400,583,626,758,246,270,280,1436,1539,1888,0.8,0.8,0.8,1160,1255,1477,2.5,2.5,2.5
LGA36510,42,44,46,1733,1670,1733,493,569,661,265,300,315,1212,1417,1706,0.8,0.8,0.8,1013,1222,1410,2.6,2.6,2.6
LGA36580,41,43,45,1500,1500,1500,445,512,620,250,280,300,1068,1256,1517,0.8,0.8,0.8,928,1089,1312,2.6,2.6,2.6
LGA36630,42,45,48,1200,1159,1083,397,478,542,200,220,245,951,1143,1337,0.8,0.8,0.8,789,925,1045,2.4,2.4,2.3
LGA36660,42,45,48,1300,1300,1300,448,506,590,200,235,255,998,1207,1396,0.8,0.8,0.7,838,973,1108,2.4,2.4,2.3
LGA36720,41,43,43,1900,1800,1915,522,615,755,330,375,440,1232,1491,1920,0.8,0.8,0.8,1027,1275,1595,2.5,2.5,2.5
LGA36820,44,47,49,1387,1352,1352,445,517,625,202,250,260,1015,1218,1478,0.8,0.8,0.8,819,977,1167,2.4,2.4,2.3
LGA36910,37,38,39,1517,1517,1517,549,642,743,230,280,300,1308,1547,1847,0.8,0.8,0.8,1061,1269,1461,2.5,2.5,2.5
LGA36950,28,28,30,1200,1705,1791,684,740,877,141,195,200,1588,1919,1951,1.2,1.2,1.2,1570,1837,2006,3.3,3.2,3.1
LGA36960,23,24,27,0,0,0,313,373,411,60,120,130,793,856,923,1.1,1.1,1,855,929,976,3.7,3.7,3.5
LGA37010,33,34,36,1863,1733,1517,675,703,864,290,300,305,1626,1705,2082,0.8,0.8,0.8,1381,1424,1701,2.6,2.6,2.5
LGA37300,30,31,30,2000,2200,2063,1236,1320,1558,269,500,500,2641,2777,3283,1,1,1,2492,2484,2978,2.8,2.9,2.9
LGA37310,37,37,38,1300,1400,1300,542,621,716,220,220,240,1295,1467,1713,0.8,0.8,0.8,1068,1209,1374,2.6,2.5,2.5
LGA37340,38,38,40,1755,1733,1612,621,685,795,275,280,300,1405,1481,1856,0.9,0.8,0.8,1163,1228,1472,2.4,2.4,2.4
LGA37400,43,46,45,884,1000,863,544,655,882,110,128,150,1081,1413,2048,0.8,0.8,0.8,862,1067,1316,2.3,2.1,2.1
LGA37550,21,23,23,0,0,0,284,319,361,105,120,120,697,716,707,1.4,1.2,1.2,747,740,684,3.8,3.4,3.3
LGA37570,29,30,29,0,0,0,262,294,332,80,100,70,687,682,833,1.2,1.2,1.2,966,811,840,3.5,3.4,3.2
LGA37600,22,23,25,0,780,1392,274,288,337,120,134,150,740,869,911,1.6,1.5,1.5,1002,1129,1254,4.8,4.7,4.5
LGA39499,44,45,43,0,0,0,379,407,471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA39799,47,56,39,0,0,0,660,606,1196,0,0,0,0,0,2750,0,0,1,0,0,1749,0,0,1.5
LGA40070,30,30,32,1895,1733,1733,562,553,780,325,380,400,1875,2026,2220,0.9,0.9,0.9,1145,1266,1473,1.9,1.9,1.8
LGA40120,42,44,44,1733,1733,1860,664,741,892,270,320,350,1795,2026,2416,0.8,0.8,0.8,1509,1701,2067,2.7,2.7,2.7
LGA40150,40,42,40,1381,1430,1517,527,606,753,200,250,295,1319,1498,1937,0.8,0.8,0.8,1160,1332,1685,2.7,2.7,2.7
LGA40220,47,51,53,1387,1343,1400,454,522,606,220,260,280,1020,1226,1428,0.8,0.7,0.7,861,992,1143,2.3,2.3,2.3
LGA40250,26,28,28,0,0,0,277,283,324,40,75,85,687,734,739,1.4,1.3,1.4,1132,1150,1266,3.8,3.8,4
LGA40310,41,44,45,1473,1473,1458,566,646,749,220,260,295,1392,1596,1910,0.8,0.8,0.7,1124,1272,1480,2.5,2.5,2.4
LGA40430,50,55,57,867,875,1042,403,487,525,150,180,208,911,1166,1320,0.7,0.7,0.7,717,839,975,2.2,2.1,2.1
LGA40520,42,45,46,1083,1083,1083,447,533,637,150,180,210,1004,1252,1485,0.8,0.8,0.7,801,976,1169,2.3,2.3,2.3
LGA40700,44,44,44,2000,2000,2300,715,807,970,295,330,360,2124,2320,2686,0.8,0.8,0.8,1472,1716,2069,2.4,2.5,2.5
LGA40910,41,41,40,1600,1690,1733,517,588,758,265,300,345,1366,1607,2058,0.8,0.8,0.8,1070,1249,1590,2.5,2.5,2.5
LGA41010,38,39,40,1237,1300,1247,586,696,764,143,199,200,1324,1503,1794,0.8,0.8,0.8,1055,1254,1381,2.5,2.4,2.4
LGA41060,41,41,41,1690,1700,1733,525,614,786,240,290,325,1345,1607,2072,0.8,0.8,0.8,1019,1231,1563,2.3,2.4,2.4
LGA41140,43,47,48,1200,1300,1207,523,605,705,180,220,240,1189,1395,1658,0.8,0.7,0.7,946,1129,1311,2.4,2.3,2.3
LGA41190,43,44,46,758,867,877,538,630,664,120,160,165,1148,1384,1391,0.7,0.7,0.7,938,1091,1110,2.3,2.3,2.3
LGA41330,45,46,50,600,556,630,428,497,498,120,150,163,1030,1329,1380,0.8,0.8,0.8,719,844,764,2,2,1.8
LGA41560,47,50,54,1083,1161,1177,398,477,551,190,230,250,924,1128,1300,0.7,0.7,0.7,749,878,997,2.2,2.2,2.2
LGA41750,43,46,44,867,800,953,497,529,682,116,128,150,977,1189,1480,0.8,0.8,0.8,802,924,1135,2.3,2.2,2.3
LGA41830,45,50,53,1040,900,873,485,549,634,133,163,175,1162,1283,1489,0.8,0.7,0.7,871,951,1045,2.3,2.1,2.1
LGA41960,44,49,52,1192,1200,1040,446,536,668,188,200,200,1092,1283,1463,0.8,0.7,0.7,840,1041,1194,2.3,2.3,2.2
LGA42030,40,41,41,1408,1400,1350,516,576,701,225,260,285,1248,1422,1728,0.8,0.8,0.7,960,1112,1324,2.4,2.4,2.3
LGA42110,46,48,51,867,867,867,412,481,497,145,170,190,943,1184,1283,0.8,0.8,0.7,760,891,916,2.3,2.3,2.2
LGA42250,41,44,45,1300,1300,1400,576,665,811,160,180,200,1367,1658,2039,0.8,0.8,0.8,1176,1383,1747,2.7,2.6,2.6
LGA42600,45,46,48,1800,1772,1950,646,748,885,275,305,340,1726,1973,2331,0.8,0.8,0.8,1159,1358,1604,2.1,2.2,2.2
LGA42750,46,49,50,1127,1083,1023,490,553,672,170,180,208,1060,1213,1501,0.8,0.8,0.8,837,947,1128,2.2,2.2,2.2
LGA43080,46,48,50,754,650,542,389,461,477,120,128,160,905,1181,1287,0.8,0.8,0.7,747,871,912,2.4,2.4,2.2
LGA43220,43,40,42,650,823,860,570,684,744,100,130,150,1338,1453,1625,0.8,0.7,0.7,1031,1233,1282,2.3,2.4,2.4
LGA43360,47,50,53,1083,1058,1170,483,575,676,155,178,200,977,1232,1497,0.7,0.7,0.7,822,978,1184,2.2,2.2,2.1
LGA43650,38,39,40,1473,1452,1500,571,669,770,210,250,280,1461,1715,2046,0.8,0.8,0.8,1276,1471,1781,2.8,2.8,2.8
LGA43710,40,43,44,1249,1342,1300,527,672,809,150,200,240,1235,1490,1905,0.8,0.8,0.8,1046,1276,1557,2.6,2.5,2.5
LGA43790,43,46,48,1083,1040,1083,457,552,660,140,180,204,1069,1286,1488,0.8,0.8,0.7,828,1005,1169,2.4,2.3,2.3
LGA44000,38,35,44,0,0,0,270,1375,343,50,0,50,500,3374,725,1.3,1.5,1.3,700,3374,1312,2.5,3.4,2.3
LGA44060,39,39,39,1618,1625,1699,552,628,776,245,300,330,1421,1625,2038,0.8,0.8,0.8,1065,1263,1557,2.3,2.4,2.4
LGA44210,48,51,54,1062,1000,1083,402,473,512,155,185,201,928,1096,1253,0.8,0.7,0.7,755,839,918,2.2,2.1,2.1
LGA44340,41,42,42,1760,1842,1981,637,715,891,270,300,335,1817,2071,2518,0.8,0.8,0.8,1386,1604,1996,2.5,2.6,2.6
LGA44550,38,39,39,1625,1616,1602,598,677,828,270,310,350,1501,1729,2114,0.8,0.8,0.8,1254,1435,1753,2.6,2.6,2.6
LGA44620,38,40,41,1248,1172,1127,504,589,702,160,195,220,1174,1388,1684,0.8,0.8,0.7,899,1052,1232,2.3,2.3,2.3
LGA44830,49,53,55,910,890,919,425,497,600,130,150,180,985,1217,1406,0.8,0.7,0.7,796,940,1119,2.3,2.2,2.2
LGA45040,40,41,43,1200,1183,1127,453,526,603,185,220,240,1026,1215,1398,0.8,0.8,0.7,838,973,1109,2.4,2.4,2.3
LGA45090,40,41,41,1083,1083,1083,576,655,786,160,195,220,1244,1424,1797,0.8,0.8,0.8,1016,1203,1435,2.4,2.4,2.4
