LGA_CODE_2021,C21_85_over_UOL_SE_Tot,C21_85_over_LPE_NS,C21_85_over_Tot,C21_Tot_SEO,C21_Tot_UOL_SE_Vw_w,C21_Tot_UOL_SE_Nw_Na,C21_Tot_UOL_SE_P_E_n,C21_Tot_UOL_SE_Tot,C21_Tot_LPE_NS,C21_Tot_Tot
LGA36580,3,40,351,22130,1137,187,27,1353,1577,25057
LGA36630,23,79,820,28997,960,127,18,1110,2883,32996
LGA36660,74,116,1004,31954,1409,239,20,1668,2670,36290
LGA36720,488,887,9058,304081,20038,1699,286,22025,16442,342541
LGA36820,45,117,715,22335,1288,122,27,1436,2468,26244
LGA36910,138,433,4381,148153,13290,2750,208,16245,8803,173204
LGA36950,4,5,10,1419,1490,220,48,1758,244,3421
LGA36960,12,0,9,262,2891,678,78,3644,223,4124
LGA37010,178,268,2647,161774,14309,1711,161,16185,14809,192768
LGA37300,0,3,10,3170,406,31,4,435,490,4100
LGA37310,5,80,625,29149,1332,113,26,1473,3220,33843
LGA37340,23,42,503,30406,2332,279,25,2645,4106,37152
LGA37400,0,0,19,928,26,0,0,23,172,1129
LGA37550,0,0,0,933,40,3,0,45,40,1019
LGA37570,0,0,0,150,94,4,19,119,10,276
LGA37600,3,0,5,442,1878,41,66,1983,80,2505
LGA39499,0,10,44,9972,1085,140,19,1244,3455,14670
LGA39799,0,0,0,32,19,0,0,22,128,183
LGA40070,77,83,425,13980,8071,1008,35,9110,1940,25026
