LGA_CODE_2021,C21_75_84_No_need_assist_F,C21_75_84_No_need_assist_P,C21_75_84_Need_assist_ns_M,C21_75_84_Need_assist_ns_F,C21_75_84_Need_assist_ns_P,C21_75_84_Tot_M,C21_75_84_Tot_F,C21_75_84_Tot_P,C21_85over_Need_assist_M,C21_85over_Need_assist_F,C21_85over_Need_assist_P,C21_85over_No_need_assist_M,C21_85over_No_need_assist_F,C21_85over_No_need_assist_P,C21_85over_Need_assist_ns_M,C21_85over_Need_assist_ns_F,C21_85over_Need_assist_ns_P,C21_85over_Tot_M,C21_85over_Tot_F,C21_85over_Tot_P,C21_Tot_Need_assist_M,C21_Tot_Need_assist_F,C21_Tot_Need_assist_P,C21_Tot_No_need_assist_M,C21_Tot_No_need_assist_F,C21_Tot_No_need_assist_P,C21_Tot_Need_assist_ns_M,C21_Tot_Need_assist_ns_F,C21_Tot_Need_assist_ns_P,C21_Tot_Tot_M,C21_Tot_Tot_F,C21_Tot_Tot_P
LGA59250,3,4,0,0,0,3,3,13,0,0,0,0,0,0,0,0,0,0,0,0,7,10,19,213,132,351,126,43,170,346,185,535
LGA59310,27,64,4,0,3,41,33,75,0,8,10,3,7,8,0,0,0,3,15,20,35,38,72,602,525,1126,60,41,95,697,604,1297
LGA59320,8,13,0,6,4,6,14,22,0,0,0,4,0,3,0,0,0,4,0,3,7,7,16,207,180,386,20,24,50,234,211,448
LGA59330,25,53,4,0,3,32,25,65,0,0,0,0,0,3,0,0,3,0,0,9,18,13,28,209,190,399,21,24,45,248,227,470
LGA59340,26,80,10,12,27,73,51,136,4,6,9,0,0,4,0,11,13,4,17,25,101,90,193,2906,3038,5942,695,654,1348,3702,3782,7477
LGA59350,0,5,0,0,4,6,0,7,0,0,4,0,0,0,0,0,0,0,0,4,4,3,3,120,63,182,118,34,152,242,100,340
LGA59360,13,38,5,0,3,31,19,50,4,9,5,5,3,10,0,3,7,9,15,21,18,24,38,560,362,928,158,55,210,736,441,1173
LGA59370,137,283,18,29,44,194,181,369,11,31,42,25,26,54,9,0,12,45,57,108,100,100,197,1465,1502,2966,169,126,295,1734,1728,3459
LGA59499,21,86,47,16,63,111,41,155,5,5,8,4,0,4,10,12,15,19,17,30,135,107,236,2288,2040,4327,2222,1277,3492,4645,3424,8055
LGA59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,38,297,196,25,218,456,63,514
LGA60210,227,469,38,15,50,347,304,643,37,42,81,29,32,62,8,8,18,74,82,155,338,275,619,2845,2830,5676,277,204,476,3460,3309,6770
LGA60410,258,505,30,28,58,358,396,757,32,63,91,32,40,70,5,7,12,69,110,176,729,703,1435,7901,8491,16392,577,592,1169,9207,9786,18995
LGA60610,461,917,27,32,63,590,633,1223,66,150,207,99,127,222,10,6,24,175,283,450,733,825,1559,8372,8944,17321,507,537,1041,9612,10306,19918
LGA60810,746,1393,51,56,105,845,993,1834,88,191,279,150,168,321,19,33,51,257,392,646,823,875,1699,9545,10306,19858,614,588,1204,10982,11769,22760
LGA61010,58,139,8,4,12,100,73,166,3,3,10,5,4,12,0,0,6,8,7,32,104,83,189,1122,965,2088,145,101,249,1371,1149,2520
LGA61210,175,348,18,23,44,235,239,473,21,40,64,41,43,88,7,7,20,69,90,170,224,212,434,3571,3418,6990,375,316,694,4170,3946,8117
LGA61410,1753,3199,112,111,228,1862,2301,4175,246,573,823,328,403,730,52,70,122,626,1046,1673,1760,2124,3882,26448,28098,54545,1776,1326,3103,29984,31548,61531
LGA61510,210,432,15,28,47,297,323,631,36,60,96,34,52,84,9,8,21,79,120,197,466,422,892,4661,4668,9326,374,352,727,5501,5442,10942
LGA61610,751,1471,69,64,138,934,1044,1984,111,221,330,122,192,313,35,43,79,268,456,717,1055,1171,2234,10869,11736,22607,658,652,1309,12582,13559,26150
LGA61810,203,388,14,25,43,247,281,529,33,68,105,41,50,90,8,18,23,82,136,217,253,265,514,2888,2934,5815,242,254,499,3383,3453,6829
LGA62010,37,82,0,0,6,52,44,107,5,6,16,4,5,6,0,0,0,9,11,20,28,34,67,407,380,788,31,37,67,466,451,922
LGA62210,197,396,18,6,22,266,265,535,29,48,74,44,38,74,5,9,10,78,95,163,353,321,674,2952,2968,5926,243,189,436,3548,3478,7033
LGA62410,181,395,20,17,38,277,238,513,32,24,57,39,37,70,3,8,11,74,69,134,190,174,366,2199,2093,4292,186,167,354,2575,2434,5012
LGA62610,1190,2083,88,102,186,1244,1720,2965,206,397,604,236,298,537,37,59,93,479,754,1238,1779,2022,3800,21869,22305,44170,1212,1220,2439,24860,25547,50411
LGA62810,1235,2329,70,75,142,1385,1636,3018,203,477,684,234,329,564,24,59,77,461,865,1331,1049,1497,2548,24493,25593,50086,1253,1183,2439,26795,28273,55077
LGA63010,399,854,43,47,90,586,554,1140,48,96,138,66,68,129,28,36,68,142,200,333,591,621,1209,7884,7938,15824,629,609,1231,9104,9168,18259
LGA63210,153,313,15,21,38,219,202,425,16,25,44,27,25,50,5,4,10,48,54,105,252,204,455,2857,2774,5632,279,238,521,3388,3216,6603
LGA63410,46,96,4,0,12,61,55,122,10,11,16,8,11,20,0,0,0,18,22,33,36,28,63,733,654,1386,79,83,160,848,765,1617
LGA63610,1008,1977,50,69,122,1216,1333,2553,117,243,369,185,220,405,13,25,38,315,488,810,973,1095,2071,17765,18867,36633,673,707,1380,19411,20669,40082
LGA63810,403,780,25,26,48,503,556,1063,57,115,171,75,79,148,15,7,22,147,201,339,457,507,962,5236,5569,10805,350,304,657,6043,6380,12420
LGA64010,1704,3220,96,116,215,1987,2360,4348,270,619,891,330,452,781,46,77,122,646,1148,1793,2339,2691,5028,29922,31447,61373,1922,1732,3654,34183,35870,70055
LGA64210,648,1233,42,45,83,750,844,1590,81,166,244,113,131,244,0,18,20,194,315,503,676,739,1414,8982,9345,18332,472,492,960,10130,10576,20709
LGA64610,417,778,20,27,49,471,526,994,50,74,121,87,76,166,13,10,21,150,160,311,457,434,894,5966,6148,12115,385,356,739,6808,6938,13745
LGA64810,352,688,26,17,46,446,488,936,57,98,158,74,57,133,3,11,8,134,166,300,534,578,1116,7202,7421,14628,493,501,992,8229,8500,16734
LGA65010,109,269,15,15,26,210,163,367,7,31,36,18,22,41,5,4,7,30,57,86,248,255,503,2905,2729,5631,283,246,528,3436,3230,6662
LGA65210,77,174,19,17,28,134,110,240,3,3,8,22,20,48,3,3,6,28,26,58,115,93,210,1110,1032,2141,129,114,242,1354,1239,2593
LGA65410,457,862,30,34,70,556,626,1179,55,92,152,70,106,176,12,19,33,137,217,364,611,607,1214,5903,6332,12233,443,407,852,6957,7346,14300
LGA65610,82,173,13,11,19,125,124,254,11,10,16,10,17,27,8,15,17,29,42,59,201,192,394,1777,1670,3447,233,193,425,2211,2055,4263
LGA65810,734,1439,48,66,119,873,973,1852,98,142,238,120,155,275,27,38,65,245,335,575,722,783,1507,11049,11409,22458,588,589,1178,12359,12781,25145
LGA69499,10,21,4,7,9,12,17,31,0,0,0,0,0,3,0,0,0,0,0,3,43,35,82,502,455,960,213,131,339,758,621,1377
LGA69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,11,3,0,3,12,0,19
LGA70200,217,408,23,32,57,274,333,604,28,72,99,19,39,58,5,12,19,52,123,176,483,516,999,11188,11834,23022,929,969,1896,12600,13319,25912
LGA70420,23,66,6,0,9,55,40,100,0,7,8,3,6,5,0,0,0,3,13,10,91,118,204,2672,2680,5353,417,337,756,3180,3135,6316
LGA70540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,13,68,69,142,0,0,0,78,72,149
LGA70620,22,34,5,3,8,19,33,53,0,10,9,4,0,9,0,0,0,4,10,18,42,56,90,1537,1591,3124,227,145,371,1806,1792,3591
LGA70700,15,51,18,3,22,60,18,79,0,0,6,0,0,0,0,0,0,0,0,6,32,27,56,466,461,928,164,130,295,662,618,1276
LGA71000,817,1675,100,106,199,1215,1239,2449,113,186,303,118,75,195,29,48,84,260,309,578,1500,1430,2933,35057,35635,70694,3655,3251,6910,40212,40316,80530
LGA71150,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,114,271,10,3,17,163,117,293
LGA71300,14,35,0,0,0,24,36,71,4,0,6,4,0,5,0,0,0,8,0,12,176,203,381,3828,3912,7740,354,310,662,4358,4425,8778
LGA72200,56,136,23,13,31,135,94,223,9,17,27,4,9,8,3,0,4,16,26,46,165,157,325,3966,3822,7790,848,687,1528,4979,4666,9643
LGA72300,173,425,37,24,61,347,257,599,22,36,60,20,16,37,0,3,3,42,55,97,377,335,713,9159,8355,17511,2163,1018,3186,11699,9708,21411
LGA72330,16,31,0,0,4,19,34,60,0,4,7,0,4,7,0,0,0,0,8,14,72,131,206,2156,2243,4399,842,302,1149,3070,2676,5748
LGA72800,178,354,27,23,54,263,284,559,33,69,105,23,20,38,6,8,16,62,97,159,787,703,1487,15797,16431,32226,1854,1676,3530,18438,18810,37247
LGA73600,22,46,5,0,10,46,35,83,0,3,3,3,3,6,0,0,0,3,6,12,102,99,195,2724,2791,5512,467,320,780,3293,3210,6486
LGA74050,4,7,0,0,6,3,4,19,0,0,0,0,0,0,0,0,0,0,0,0,34,46,83,1042,1048,2093,75,95,171,1151,1189,2348
LGA74550,3,23,4,0,3,28,19,50,6,0,0,4,0,3,0,0,0,10,0,13,38,48,86,1215,1172,2386,185,153,339,1438,1373,2815
LGA74560,3,8,3,3,7,17,6,25,0,0,0,0,0,0,0,0,0,0,0,0,14,4,25,182,174,356,24,15,39,220,193,423
LGA74660,5,23,0,0,3,26,13,41,0,4,4,3,0,3,0,0,0,3,4,4,84,90,170,2845,2755,5598,269,238,505,3198,3083,6281
LGA74680,3,6,0,0,0,8,12,17,0,5,4,0,0,0,0,0,0,0,5,7,37,56,93,1327,1289,2614,124,136,261,1488,1481,2973
LGA79399,23,49,17,5,20,62,31,85,3,0,8,0,0,0,0,0,0,3,0,12,91,43,136,2703,2539,5242,800,630,1424,3594,3212,6802
LGA79499,10,27,10,5,17,31,15,49,0,0,0,4,0,3,0,0,0,4,0,7,56,42,99,1037,1010,2046,731,622,1355,1824,1674,3500
LGA79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,64,10,70,23,0,24,87,10,99
LGA89399,7739,14629,449,468,918,8786,10551,19340,1196,2318,3511,1475,1698,3173,192,297,493,2863,4313,7180,9243,11508,20749,204677,209178,413859,10098,9178,19280,224018,229864,453890
LGA89499,4,5,0,0,0,4,4,10,0,0,0,0,0,0,0,0,0,0,0,4,19,7,26,224,225,450,94,35,127,337,267,605
LGA89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA99399,75,134,10,16,34,80,109,192,14,12,23,14,10,22,0,0,3,28,22,54,61,57,118,959,1071,2031,189,168,352,1209,1296,2494
LGA99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,9,3,0,3,6,4,11
LGA99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
