SA3_CODE_2021,C21_75_84_No_need_assist_F,C21_75_84_No_need_assist_P,C21_75_84_Need_assist_ns_M,C21_75_84_Need_assist_ns_F,C21_75_84_Need_assist_ns_P,C21_75_84_Tot_M,C21_75_84_Tot_F,C21_75_84_Tot_P,C21_85over_Need_assist_M,C21_85over_Need_assist_F,C21_85over_Need_assist_P,C21_85over_No_need_assist_M,C21_85over_No_need_assist_F,C21_85over_No_need_assist_P,C21_85over_Need_assist_ns_M,C21_85over_Need_assist_ns_F,C21_85over_Need_assist_ns_P,C21_85over_Tot_M,C21_85over_Tot_F,C21_85over_Tot_P,C21_Tot_Need_assist_M,C21_Tot_Need_assist_F,C21_Tot_Need_assist_P,C21_Tot_No_need_assist_M,C21_Tot_No_need_assist_F,C21_Tot_No_need_assist_P,C21_Tot_Need_assist_ns_M,C21_Tot_Need_assist_ns_F,C21_Tot_Need_assist_ns_P,C21_Tot_Tot_M,C21_Tot_Tot_F,C21_Tot_Tot_P
40203,1335,2499,75,73,150,1565,1929,3495,265,613,877,262,352,616,25,50,77,552,1015,1573,2255,2669,4923,34323,33685,68006,2253,1675,3929,38831,38029,76855
40204,2534,4802,145,185,328,3122,3792,6907,471,810,1281,471,530,1001,80,133,210,1022,1473,2497,5205,5523,10732,63881,63607,127484,3285,3052,6337,72371,72182,144550
40205,2716,5158,103,151,253,3026,3569,6593,402,776,1174,506,585,1087,66,117,177,974,1478,2446,2671,3124,5801,43324,44651,87973,1482,1407,2892,47477,49182,96660
40301,1285,2402,62,70,132,1364,1629,2991,214,529,743,258,419,674,16,46,62,488,994,1482,995,1354,2348,15445,16669,32110,627,628,1251,17067,18651,35711
40302,2293,4140,95,89,184,2371,3020,5399,429,1049,1479,521,668,1190,43,71,118,993,1788,2788,2782,3535,6316,41922,44982,86907,1665,1439,3102,46369,49956,96326
40303,1867,3589,88,89,180,2141,2411,4555,367,723,1096,436,565,1002,51,56,111,854,1344,2205,1560,2024,3586,29773,31182,60955,894,854,1750,32227,34060,66290
40304,4259,8208,227,280,503,5070,5742,10803,625,1241,1867,804,914,1722,119,192,311,1548,2347,3902,5852,6280,12138,76785,80176,156965,3814,3617,7432,86451,90073,176533
40401,2839,5321,123,145,267,3334,4174,7508,709,1438,2147,643,738,1383,50,97,147,1402,2273,3676,3672,4784,8463,51837,53753,105586,2215,2177,4392,57724,60714,118442
40402,1142,2112,56,81,137,1337,1716,3058,279,596,876,223,318,538,25,29,60,527,943,1466,2202,2503,4706,26281,27107,53392,1449,1299,2753,29932,30909,60848
40403,1592,2818,61,92,153,1611,2258,3876,434,911,1342,433,514,950,27,62,90,894,1487,2385,1749,2474,4221,29011,29637,58656,1170,1011,2181,31930,33122,65057
