SA3_CODE_2021,C21_OTT_DS_F_a,C21_OTT_DS_OD,C21_OTT_DS_NS,C21_OTT_Tot,C21_TT_NS_DS_Sep_house,C21_TT_NS_DS_SemiDRTHT,C21_TT_NS_DS_F_a,C21_TT_NS_DS_OD,C21_TT_NS_DS_NS,C21_TT_NS_Tot,C21_Tot_DS_Sep_house,C21_Tot_DS_SemiDRTHT,C21_Tot_DS_F_a,C21_Tot_DS_OD,C21_Tot_DS_NS,C21_Tot_Tot
30605,6,28,12,447,1414,78,123,323,56,1985,15862,480,766,1167,300,18575
30701,10,32,35,1054,1489,203,109,70,28,1895,15764,1373,324,718,216,18386
30702,0,9,11,607,1173,79,11,92,20,1373,15528,757,40,369,104,16796
30703,0,4,9,428,1111,93,39,60,20,1322,15713,1003,193,230,86,17224
30801,20,59,45,658,851,80,71,139,21,1161,9208,711,654,637,283,11498
30803,82,30,27,885,2318,352,272,402,36,3371,40777,2911,2418,1278,349,47726
30804,11,9,5,348,675,29,44,67,48,860,5367,144,220,247,90,6073
30805,24,33,19,372,1176,138,180,287,25,1804,21060,1549,1892,1014,183,25699
30901,164,0,3,373,519,343,1140,47,26,2078,12387,5625,10356,248,106,28724
30902,120,3,0,303,426,244,549,77,10,1315,11466,4484,7509,386,75,23914
30903,77,3,5,418,594,604,598,78,8,1879,12548,10009,7670,337,102,30663
30904,0,0,4,131,363,11,4,20,3,403,7000,162,41,122,41,7366
30905,4,0,0,132,333,115,16,35,11,501,9696,1888,110,62,25,11776
30906,200,5,4,434,680,268,169,66,0,1185,17912,4965,1752,467,27,25124
30907,113,14,3,558,1999,610,128,64,20,2818,42626,8655,1675,378,184,53516
30908,64,0,4,273,324,305,268,0,9,900,10349,6774,3469,0,25,20624
30909,200,0,0,536,532,386,880,66,16,1884,11455,5053,9752,204,122,26580
30910,189,3,6,323,235,171,1678,58,28,2167,4826,2373,13349,175,205,20929
31001,54,0,9,605,979,386,89,23,12,1485,20938,4726,529,134,79,26402
31002,0,11,8,483,1461,90,10,72,51,1696,23793,547,52,400,140,24921
31003,33,0,8,377,1674,416,144,67,11,2313,38723,4158,1138,151,63,44237
31004,12,0,0,218,1458,387,47,34,4,1931,30904,3627,372,110,31,35044
31101,0,5,0,119,290,74,0,17,0,385,4862,758,13,115,20,5771
31102,10,0,0,183,897,326,202,70,3,1502,13987,2771,1181,91,18,18051
31103,9,0,4,303,1703,465,30,35,13,2245,27493,3242,220,154,66,31183
31104,17,0,0,152,956,43,15,3,0,1017,18620,416,125,19,27,19201
31105,29,0,0,252,1017,292,156,77,4,1550,18857,2960,1007,162,51,23031
31106,28,0,3,311,1287,580,194,47,10,2118,21596,5376,1034,125,40,28169
31201,24,28,29,695,1077,174,21,113,53,1439,11004,1514,185,974,323,13996
31202,30,19,18,982,2555,610,296,366,50,3883,38766,4838,1872,1230,331,47026
31203,10,38,19,156,438,75,140,86,36,774,6158,688,1320,843,375,9386
31301,88,15,3,436,465,129,82,106,3,786,13140,2118,955,710,43,16965
31302,25,3,5,371,1172,475,72,55,6,1784,23610,4433,459,141,44,28684
31303,0,10,6,116,361,4,4,91,0,462,4893,78,9,164,17,5165
31304,27,3,6,247,842,194,73,61,4,1174,21598,2228,469,223,43,24568
31305,175,8,0,707,744,218,376,130,16,1487,18586,3240,5415,383,77,27695
31401,62,0,3,459,605,68,16,3,6,698,28271,2178,212,39,28,30734
31402,43,0,0,548,673,526,24,55,10,1279,23352,7335,512,311,43,31550
31403,14,0,0,101,432,164,45,0,0,651,11820,2701,541,7,18,15093
31501,24,117,77,802,975,174,76,503,62,1786,8370,1139,295,2116,493,12415
31502,56,87,78,776,768,144,75,682,59,1727,8285,1466,549,2526,443,13272
31503,16,57,61,635,747,21,28,162,40,999,6921,163,199,1253,418,8959
31601,206,0,0,1291,461,216,258,0,3,936,16154,3308,2580,0,29,22078
31602,196,14,9,818,902,330,447,86,33,1799,26690,5578,5908,427,128,38729
31603,154,26,7,673,541,318,654,160,27,1700,13855,5075,8291,975,296,28493
31605,38,0,3,609,484,261,164,27,3,941,13913,3580,1877,184,118,19666
31606,27,13,10,450,1000,61,50,102,13,1228,20365,765,428,465,97,22122
31607,33,5,5,473,634,128,88,90,11,945,15515,2158,872,364,73,18986
