Australian Bureau of Statistics

"2021 Census - selected dwelling characteristics"
"HIND Total Household Income (weekly) and STRD Dwelling Structure by SA1 (EN) by TEND Tenure Type"
"Counting: Dwelling Records"

Filters:
"Default Summation","Dwelling Records"

" Negative income,  Separate house"
"TEND Tenure Type","Owned outright","Owned with a mortgage","Purchased under a shared equity scheme","Rented","Occupied rent free","Occupied under a life tenure scheme","Other","Total",
"Segment 29",0,0,0,0,0,0,0,6,
"Segment 30",0,0,0,0,0,0,0,0,
"Segment 31",22,10,0,47,0,0,0,79,
"Segment 32",3,4,0,45,0,0,0,50,
"Segment 33",0,0,0,0,0,0,0,0,
"Segment 34",0,0,0,0,0,0,0,0,
"Segment 35",0,0,0,0,0,0,0,0,
"Segment 36",4,0,0,0,0,0,0,3,
"Segment 37",0,0,0,0,0,0,0,0,
"Segment 38",26,0,0,12,0,6,0,40,
"Segment 39",0,0,0,0,0,0,0,0,
"Segment 40",0,0,0,0,0,0,0,0,
"Segment 41",0,0,0,0,0,0,0,0,
"Segment 42",0,0,0,0,0,0,0,0,
"Segment 43",0,0,0,0,0,0,0,3,
"Segment 44",0,0,0,0,0,0,0,0,
"Segment 45",0,0,0,0,0,0,0,0,
"Segment 46",0,0,0,0,0,0,0,0,
"Segment 47",0,0,0,0,0,0,0,0,
"Segment 48",0,0,0,0,0,0,0,0,
"Segment 50",0,0,0,0,0,0,0,0,
"Total",294,96,0,589,17,19,14,1034,


" Negative income,  Flat or apartment in a nine or more storey block"
"TEND Tenure Type","Owned outright","Owned with a mortgage","Purchased under a shared equity scheme","Rented","Occupied rent free","Occupied under a life tenure scheme","Other","Total",
"SA1 (EN)",
"Segment 01",7,0,0,3,0,0,0,14,
"Segment 02",0,0,0,0,0,0,0,0,
"Segment 03",17,3,0,12,0,0,0,26,
"Segment 04",0,0,0,0,0,0,0,0,
"Segment 05",0,0,0,0,0,0,0,0,
"Segment 06",0,0,0,0,0,0,0,0,
"Segment 07",0,0,0,0,0,0,0,0,
"Segment 08",19,9,0,17,0,3,0,47,
"Segment 09",3,0,0,0,0,0,0,3,
"Segment 10",4,5,0,0,0,0,0,5,
"Segment 11",0,0,0,0,0,0,0,0,
"Segment 12",0,0,0,0,0,0,0,0,
"Segment 13",0,0,0,0,0,0,0,0,
"Segment 14",0,0,0,0,0,0,0,0,
"Segment 15",0,0,0,0,0,0,0,7,
"Segment 16",98,60,0,363,12,0,3,528,
"Segment 17",0,0,0,4,0,0,0,3,
"Segment 18",11,4,0,8,3,0,0,29,
"Segment 19",0,0,0,0,0,0,0,0,
"Segment 20",0,0,0,0,0,0,0,0,
"Segment 21",21,12,0,97,3,0,5,134,
"Segment 22",7,0,0,4,0,0,0,19,
"Segment 23",0,0,0,0,0,0,0,0,
"Segment 24",0,0,0,0,0,0,0,0,
"Segment 25",0,0,0,0,0,0,0,0,
"Segment 26",0,0,0,0,0,0,0,3,
"Segment 27",0,0,0,0,0,0,0,0,
"Segment 28",0,0,0,4,0,0,0,3,
"Segment 29",0,0,0,0,0,0,0,0,
"Segment 30",0,0,0,0,0,0,0,0,
"Segment 31",10,0,0,25,0,0,0,32,
"Segment 32",0,0,0,56,0,0,0,61,
"Segment 33",0,0,0,0,0,0,0,0,
"Segment 34",0,0,0,0,0,0,0,0,
"Segment 35",0,0,0,0,0,0,0,0,
"Segment 36",0,0,0,0,0,0,0,0,
"Segment 37",0,0,0,0,0,0,0,0,
"Segment 38",32,0,0,3,0,3,0,41,
"Segment 39",0,0,0,0,0,0,0,0,
"Segment 40",0,0,0,0,0,0,0,0,
"Segment 41",0,0,0,0,0,0,0,0,
"Segment 42",0,0,0,0,0,0,0,0,
"Segment 43",0,0,0,0,0,0,0,0,
"Segment 44",0,0,0,0,0,0,0,0,
"Segment 45",0,0,0,0,0,0,0,0,
