SA2_CODE_2021,C21_OD_H_f_so_FH_Tot,C21_OD_H_f_so_LP_H,C21_OD_H_f_so_GH,C21_OD_H_f_so_OH,C21_OD_H_f_so_Tot,C21_OD_Tot_FH_CF_no_ch,C21_OD_Tot_FH_CF_w_ch,C21_OD_Tot_FH_One_PFam,C21_OD_Tot_FH_oth_fa,C21_OD_Tot_FH_Tot,C21_OD_Tot_LP_H,C21_OD_Tot_GH,C21_OD_Tot_OH,C21_OD_Tot_Tot,C21_DS_ns_FH_CF_no_ch,C21_DS_ns_FH_CF_w_ch,C21_DS_ns_FH_One_PFam,C21_DS_ns_FH_oth_fa,C21_DS_ns_FH_Tot,C21_DS_ns_LP_H,C21_DS_ns_GH,C21_DS_ns_OH,C21_DS_NS_Tot,C21_Tot_FH_CF_no_ch,C21_Tot_FH_CF_w_ch,C21_Tot_FH_One_PFam,C21_Tot_FH_oth_fa,C21_Tot_FH_Tot,C21_Tot_LP_H,C21_Tot_GH,C21_Tot_OH,C21_Tot_Tot
403041081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
403041082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,7,0,0,13
403041083,0,0,0,0,0,15,0,0,0,15,19,0,22,57,6,4,0,0,9,0,0,0,8,975,898,244,19,2130,607,33,112,2886
403041084,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,4,4,0,0,8,1475,1413,805,65,3757,1760,179,206,5895
403041085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,1074,936,709,63,2786,1292,133,177,4394
403041086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1129,1148,560,48,2873,1245,88,113,4320
403041088,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,7,503,439,124,8,1069,249,14,52,1385
403041089,0,0,0,0,0,29,6,4,0,33,99,3,21,156,0,0,0,0,0,0,0,0,3,1212,1513,508,35,3268,1022,65,77,4440
403041177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,1504,1615,785,50,3959,1323,153,162,5592
403041178,0,0,0,0,0,15,0,0,0,13,20,0,20,56,0,4,0,0,5,4,0,0,6,1106,1318,514,44,2980,963,79,135,4156
404011090,3,3,0,0,6,0,0,0,0,3,3,0,0,6,0,0,0,0,0,0,0,0,0,841,1038,417,41,2340,974,158,101,3571
404011091,7,4,0,0,8,0,5,0,0,7,4,0,0,8,5,3,3,0,16,7,0,0,23,1656,1930,732,97,4411,1767,265,175,6615
404011092,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,3,5,0,10,5,0,0,12,1673,2023,581,66,4340,1696,168,157,6366
404011093,15,7,0,0,26,9,3,7,0,17,7,0,0,27,4,0,0,0,4,12,4,0,17,1956,1856,830,147,4789,2600,567,318,8277
404011094,0,0,0,0,8,0,4,0,0,0,0,0,0,8,0,0,0,0,0,6,0,0,3,608,725,382,38,1750,836,81,72,2739
404011095,0,5,0,0,5,0,0,0,0,0,5,0,0,7,0,0,5,0,11,3,0,0,17,1911,1826,858,100,4695,2329,214,233,7474
404011096,0,0,0,0,4,0,0,0,0,3,17,0,90,107,3,0,0,0,5,10,0,0,13,2108,1535,622,58,4324,1921,132,275,6648
404011097,14,0,3,0,19,0,5,3,0,13,0,4,0,20,9,8,3,0,15,15,0,3,31,1627,2135,950,138,4852,2220,336,219,7630
404021098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
404021099,10,0,0,0,10,0,5,0,0,6,0,0,5,15,3,0,0,0,4,3,0,0,10,1688,1469,728,74,3961,2196,193,230,6575
404021100,0,0,0,0,0,0,0,0,0,0,19,0,4,27,0,0,0,0,0,12,0,0,13,1720,1507,853,77,4159,1789,167,205,6322
404021101,14,15,0,0,30,4,7,5,0,14,15,0,7,34,3,0,0,0,5,10,3,10,29,1032,1123,654,106,2921,1780,198,225,5117
404021102,15,10,0,7,35,5,12,0,0,18,14,3,7,37,3,5,0,0,14,9,0,5,22,1335,2174,1015,169,4698,2009,378,292,7379
404021103,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3
404031104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
404031105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274,366,105,7,761,319,19,38,1140
404031106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,4,3,15,8,3,0,24,1355,1627,483,72,3542,1686,240,123,5586
404031107,3,0,0,0,9,0,0,0,0,3,0,0,3,8,3,6,0,0,10,4,3,3,31,2831,2765,924,197,6716,3462,711,326,11218
404031108,3,7,0,5,13,0,0,0,3,3,7,0,5,13,9,9,3,0,17,32,4,0,55,1648,1615,766,141,4172,2218,637,234,7263
404031109,0,0,0,0,3,3,0,0,0,8,7,0,51,68,0,0,0,0,4,0,0,4,15,604,645,154,20,1421,586,46,115,2167
405011110,0,3,0,0,4,4,0,0,0,5,13,0,6,24,4,3,0,0,3,6,4,0,12,812,741,223,14,1793,631,51,140,2612
405011111,6,0,0,0,4,11,7,0,0,10,4,0,9,27,5,0,0,0,6,0,0,4,12,1101,1143,358,23,2623,790,70,175,3662
405011112,0,0,0,0,0,0,5,4,0,5,14,0,5,23,0,4,0,0,4,0,0,0,4,791,873,200,13,1876,431,23,79,2405
405011113,0,0,0,0,0,7,0,0,0,5,0,17,9,37,4,0,0,0,4,0,0,4,7,346,344,114,11,815,321,64,125,1324
405011114,0,0,0,0,0,6,0,0,0,3,4,0,24,41,5,4,0,0,8,6,0,5,11,966,752,292,15,2018,889,47,98,3051
405011115,0,0,0,0,0,8,0,0,0,8,4,0,18,24,0,0,0,0,0,0,0,0,4,668,496,160,7,1331,553,30,79,1993
405021116,0,0,0,0,0,5,0,0,0,3,0,0,36,49,0,0,0,0,3,6,0,0,11,571,386,153,10,1114,533,34,142,1831
405021117,6,0,0,3,12,9,0,0,0,6,3,0,13,29,0,0,0,0,0,4,0,9,10,730,482,154,7,1375,580,43,153,2154
405021118,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,3,4,546,381,129,11,1070,572,29,162,1836
405021119,0,4,0,0,3,8,3,0,0,9,17,0,27,61,4,0,0,0,4,6,0,3,18,1233,900,359,26,2509,1218,93,294,4112
405031120,9,0,0,0,5,4,3,0,0,8,4,0,9,26,0,0,0,0,0,0,0,7,11,635,433,138,14,1219,624,57,126,2027
405031121,0,0,0,0,0,13,9,0,0,20,9,0,174,204,4,0,0,0,3,11,0,22,33,790,393,168,15,1375,786,53,452,2668
405031122,3,0,0,0,4,8,3,0,0,8,11,0,45,62,10,3,0,0,10,12,0,4,27,1501,1205,818,59,3592,2124,135,344,6188
405031123,4,0,0,0,5,8,0,0,0,10,10,0,31,46,0,0,0,0,0,3,0,0,3,434,331,118,21,894,373,23,94,1382
405041124,0,0,0,0,0,3,0,0,0,3,17,0,3,24,0,0,0,0,0,0,0,0,3,689,496,261,17,1470,637,55,105,2270
405041125,0,3,0,0,7,5,0,0,0,5,9,0,46,55,3,6,0,0,10,3,0,4,16,942,347,167,20,1478,703,53,223,2450
405041126,0,3,0,0,3,3,0,4,0,8,6,0,19,38,0,0,0,0,3,4,0,12,19,712,287,204,20,1220,614,48,173,2062
405041127,4,7,0,0,10,39,0,6,0,43,48,3,77,170,4,0,0,0,4,9,0,7,17,1268,569,181,23,2046,1048,55,352,3502
405041128,3,3,0,0,8,3,10,0,0,14,14,0,68,99,0,0,0,0,0,4,0,3,4,686,279,112,6,1082,692,38,271,2085
406011129,0,0,0,0,0,4,0,0,0,3,19,0,76,103,0,0,0,0,0,4,0,25,25,284,262,122,15,684,308,32,171,1194
406011130,0,9,0,0,4,16,11,0,0,21,23,0,102,145,6,0,0,0,12,8,0,18,33,996,660,187,12,1850,802,57,311,3017
406011131,3,0,0,4,10,3,4,0,0,12,12,0,34,50,4,0,0,0,4,7,0,26,34,592,404,87,10,1091,474,25,246,1837
406011132,5,0,0,0,9,4,0,0,0,4,3,0,58,73,6,0,0,0,6,0,0,19,24,257,206,40,12,518,251,15,183,967
406011133,5,6,0,0,11,5,5,0,0,7,19,14,70,109,3,4,0,0,5,7,0,7,27,1841,1548,733,63,4185,1924,188,479,6782
406011134,0,6,0,3,3,4,3,0,0,5,19,0,169,191,9,0,0,0,9,0,0,41,44,467,343,92,15,909,385,21,317,1635
406011135,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,10,14,6,6,0,0,18,19,0,17,48
406011136,3,0,0,0,3,6,3,3,0,9,16,0,73,96,8,9,6,0,18,9,0,48,75,2280,1936,1189,82,5486,3258,217,748,9697
406011137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
406021138,0,0,0,0,3,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,15,19,89,181,104,31,411,90,15,92,609
406021139,0,0,0,0,3,4,0,0,0,4,16,0,140,160,0,0,0,0,0,3,0,11,24,138,86,52,15,285,360,25,331,1001
406021140,0,0,0,0,6,4,3,0,0,8,4,0,74,81,3,0,0,0,3,3,0,25,33,309,150,75,4,548,340,20,210,1112
406021141,5,7,0,3,11,14,0,7,0,14,29,3,169,212,15,11,3,0,25,36,4,176,243,172,116,45,4,334,319,25,559,1239
