SA2_CODE_2021,C21_75_79_Div_P,C21_75_79_Wid_M,C21_75_79_Wid_F,C21_75_79_Wid_P,C21_75_79_Nvr_marrd_M,C21_75_79_Nvr_marrd_F,C21_75_79_Nvr_marrd_P,C21_75_79_Tot_M,C21_75_79_Tot_F,C21_75_79_Tot_P,C21_80_84_Married_M,C21_80_84_Married_F,C21_80_84_Married_P,C21_80_84_Sep_M,C21_80_84_Sep_F,C21_80_84_Sep_P,C21_80_84_Div_M,C21_80_84_Div_F,C21_80_84_Div_P,C21_80_84_Wid_M,C21_80_84_Wid_F,C21_80_84_Wid_P,C21_80_84_Nvr_marrd_M,C21_80_84_Nvr_marrd_F,C21_80_84_Nvr_marrd_P,C21_80_84_Tot_M,C21_80_84_Tot_F,C21_80_84_Tot_P,C21_85_over_Married_M,C21_85_over_Married_F,C21_85_over_Married_P,C21_85_over_Seprtd_M,C21_85_over_Seprtd_F,C21_85_over_Seprtd_P,C21_85_over_Divorce_M,C21_85_over_Divorce_F,C21_85_over_Divorce_P,C21_85_over_Wid_M,C21_85_over_Wid_F,C21_85_over_Wid_P,C21_85_over_Nvr_mard_M,C21_85_over_Nvr_mard_F,C21_85_over_Nvr_mard_P,C21_85_over_Tot_M,C21_85_over_Tot_F,C21_85_over_Tot_P,C21_Tot_Married_M,C21_Tot_Married_F,C21_Tot_Married_P,C21_Tot_Sep_M,C21_Tot_Sep_F,C21_Tot_Sep_P,C21_Tot_Div_M,C21_Tot_Div_F,C21_Tot_Div_P,C21_Tot_Wid_M,C21_Tot_Wid_F,C21_Tot_Wid_P,C21_Tot_nver_marrie_M,C21_Tot_nver_marrie_F,C21_Tot_nver_marrie_P,C21_Tot_Tot_M,C21_Tot_Tot_F,C21_Tot_Tot_P
310021278,54,23,52,74,12,7,14,186,166,351,73,36,116,4,0,3,10,7,16,8,41,51,7,4,6,104,91,191,21,11,34,0,0,0,0,3,3,18,53,68,0,0,0,48,66,109,1114,1115,2231,105,83,185,269,287,557,87,242,332,589,495,1084,2172,2223,4389
310021279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310021280,117,34,104,141,21,10,29,423,360,782,125,79,204,0,5,13,35,26,60,31,94,117,16,0,18,212,208,418,70,24,96,3,0,3,17,8,32,47,140,186,6,7,13,145,188,328,3844,3940,7783,394,421,815,849,972,1817,214,646,862,2973,2857,5825,8274,8829,17099
310021281,74,25,72,98,9,8,14,253,235,488,80,49,132,5,0,4,16,12,29,21,56,78,9,0,14,129,122,248,32,11,46,0,0,0,3,7,16,23,58,76,4,3,8,66,81,145,2648,2693,5338,244,269,507,543,611,1158,158,357,516,2036,1691,3730,5622,5619,11245
310021282,46,13,73,89,8,6,11,196,207,405,89,66,154,6,0,5,20,9,28,19,40,63,3,4,4,134,123,259,38,11,49,5,0,5,3,9,13,21,78,101,8,0,7,75,99,169,2677,2447,5131,278,225,506,507,518,1027,115,331,449,2724,1892,4619,6298,5415,11718
310031283,58,14,66,82,8,6,12,167,225,389,76,55,128,9,3,8,13,19,31,25,86,113,10,4,8,123,165,286,55,30,81,0,0,0,6,6,16,27,96,121,7,12,11,89,144,233,1731,1777,3502,169,257,425,398,635,1027,99,408,513,2021,2015,4033,4411,5084,9495
310031284,40,9,39,51,0,3,9,109,128,237,41,37,83,3,5,6,7,14,16,8,43,51,0,0,4,57,97,159,38,15,48,3,0,3,0,3,8,17,53,71,4,4,7,55,73,134,1372,1376,2743,182,212,395,351,430,778,85,274,357,1714,1509,3227,3703,3802,7503
310031285,21,10,28,41,3,4,6,79,88,163,27,18,45,0,0,4,4,4,6,7,18,29,0,0,0,39,44,81,11,3,15,0,0,0,0,4,4,7,21,30,0,0,0,21,30,57,1168,1180,2347,101,147,248,183,294,481,56,152,209,1029,1006,2040,2536,2781,5320
310031286,40,8,35,50,12,4,16,109,117,222,34,34,63,5,0,7,11,12,23,9,42,52,11,3,13,69,94,165,37,15,49,0,0,0,9,3,8,25,90,115,4,12,16,71,122,196,1009,996,2007,127,138,259,306,369,669,74,263,341,1300,1017,2315,2812,2783,5589
310031287,92,26,112,143,19,12,33,269,323,592,109,93,203,5,5,5,26,35,58,44,126,169,7,18,26,186,280,464,105,56,161,3,0,0,8,19,28,51,267,313,11,14,28,182,355,530,2599,2636,5231,324,442,764,719,976,1692,216,751,969,3237,2778,6012,7096,7586,14673
310031288,6,12,16,22,5,3,5,56,48,102,22,14,39,0,0,0,3,0,0,0,7,8,0,0,0,29,25,51,11,7,12,0,0,0,0,0,0,5,12,17,0,0,0,17,15,34,971,971,1942,58,60,116,145,162,309,31,66,98,651,558,1207,1846,1818,3663
